entry_q,exit_q,min_entry,top_n,max_hold,cost_bps,full_sharpe,full_ret,full_gross,full_turnover,val_sharpe,val_ret,test_sharpe,test_ret
0.9,0.5,0.25,1,1,0.0,0.7389234187435386,0.004473753444243611,0.044972067039106146,0.08994413407821229,0.6182791079110929,0.003931610559581689,0.9221901831248278,0.007024395172938291
0.9,0.5,0.25,1,1,5.0,-1.124703494590127,-0.006845858225446477,0.044972067039106146,0.08994413407821229,-1.2429563743508047,-0.007968200508752354,-0.6711830366764788,-0.0051207197117321135
0.9,0.5,0.25,1,3,0.0,0.2746529035393567,0.0032029192208522517,0.0887632560419772,0.11345548147423251,-0.059788173709859026,-0.0007740078016905683,0.6717833237538384,0.00967397393860625
0.9,0.5,0.25,1,3,5.0,-0.9243379603296635,-0.01103680885012348,0.0887632560419772,0.11345548147423251,-1.2978846752046205,-0.015342251179083388,-0.40615941726907956,-0.005961186054551093
0.9,0.5,0.25,1,5,0.0,0.2715671897979155,0.003306648426826486,0.09215046417644833,0.11307720936693261,-0.03291070925332852,-0.0004758124679934417,0.6084142324741724,0.008938647243032616
0.9,0.5,0.25,1,5,5.0,-0.8738923348951803,-0.010887024164349723,0.09215046417644833,0.11307720936693261,-1.2286461960148611,-0.01502004150982017,-0.4437395697600555,-0.006633548393553346
0.9,0.5,0.25,3,1,0.0,0.6105968023980497,0.002899154100390877,0.04428305400372439,0.08856610800744878,0.2801322104415733,0.0016411327987557733,0.8663258293024074,0.004356555511508375
0.9,0.5,0.25,3,1,5.0,-1.7080617656889638,-0.008230777743193252,0.04428305400372439,0.08856610800744878,-1.675040248356596,-0.01003355489399993,-1.4973155620336442,-0.007573708855832306
0.9,0.5,0.25,3,3,0.0,0.28173493809119243,0.0021073885901399247,0.07298939502766813,0.10493716577244848,0.14297433999891826,0.0012181689574506382,0.6503018721768385,0.005189850409877739
0.9,0.5,0.25,3,3,5.0,-1.4757287931024632,-0.011055136837266666,0.07298939502766813,0.10493716577244848,-1.4037549290936784,-0.012231765238267744,-1.1640926690653624,-0.009174455455918662
0.9,0.5,0.25,3,5,0.0,0.3049254447639667,0.0023121962836034626,0.07465016375028789,0.10485317878902016,0.2367097544765541,0.002061125026646904,0.597831465683427,0.0048127295278721505
0.9,0.5,0.25,3,5,5.0,-1.4331477566822275,-0.010842355613312704,0.07465016375028789,0.10485317878902016,-1.3065174199944412,-0.011482545058584703,-1.2004626598464752,-0.009513420841155917
0.95,0.5,0.25,1,1,0.0,0.42604272248369857,0.0021156906177992596,0.029590316573556794,0.05918063314711359,-0.09417898686472971,-0.0005214763107169729,0.6067384476959257,0.003656935356160629
0.95,0.5,0.25,1,1,5.0,-1.0584705465418909,-0.005329337306170023,0.029590316573556794,0.05918063314711359,-1.5888940530695115,-0.008725489273155973,-0.7245031532739173,-0.004395376229006098
0.95,0.5,0.25,1,3,0.0,0.2806308813005761,0.002826468925689607,0.06024585165865103,0.07553254779710888,-0.14037062349811766,-0.0015783360258606605,0.38614551757621907,0.005141760572367815
0.95,0.5,0.25,1,3,5.0,-0.647360764467426,-0.0066725055586766,0.06024585165865103,0.07553254779710888,-1.1110587503940954,-0.012105428856660883,-0.3930324967237687,-0.005386740775127241
0.95,0.5,0.25,1,5,0.0,0.27466669888117357,0.0029301592074446603,0.06363305979312216,0.07515427568980901,-0.10790792619483397,-0.0012803807248736865,0.3244245365997844,0.004409734603131987
0.95,0.5,0.25,1,5,5.0,-0.59782635662605,-0.0065220598717626865,0.06363305979312216,0.07515427568980901,-1.0395451126383695,-0.01178216000165444,-0.4328521521989199,-0.0060594916657294995
0.95,0.5,0.25,3,1,0.0,0.28140821625734325,0.0012500827374426482,0.028901303538175046,0.05780260707635009,-0.39546086402521063,-0.002030270583167848,0.5012014476707479,0.002616600054025753
0.95,0.5,0.25,3,1,5.0,-1.3238655512767659,-0.006016068257532758,0.028901303538175046,0.05780260707635009,-1.9017725467347397,-0.009982413810200486,-0.9896273936238672,-0.005219838946753819
0.95,0.5,0.25,3,3,0.0,0.1633155401007706,0.0010784749080789968,0.04565305088994682,0.06530967056518847,-0.3380071547038528,-0.0025573157678011604,0.29603208881130666,0.0022355364513617637
0.95,0.5,0.25,3,3,5.0,-1.0690150231478597,-0.007125247449168093,0.04565305088994682,0.06530967056518847,-1.5371423609767356,-0.011482122564257846,-0.8728622385209068,-0.0065528870966150565
0.95,0.5,0.25,3,5,0.0,0.17710088241939476,0.0011889061079792818,0.04713481292847431,0.06506137757946531,-0.22276696185264577,-0.0017175383941790967,0.2816469836090001,0.002134945875215566
0.95,0.5,0.25,3,5,5.0,-1.0359526405456465,-0.0069844641100417215,0.04713481292847431,0.06506137757946531,-1.410892929502283,-0.010649669879029822,-0.8828713803087301,-0.006629438460266424
0.975,0.5,0.25,1,1,0.0,0.431265991112468,0.0015231899170047303,0.015642458100558657,0.03128491620111731,-0.384066351469591,-0.0014488127408929241,0.6866692338454866,0.0023687482024787876
0.975,0.5,0.25,1,1,5.0,-0.677283099565743,-0.002417022341022368,0.015642458100558657,0.03128491620111731,-1.2278303188523778,-0.00477060452296274,-0.5548261417097982,-0.0019147224845831312
0.975,0.5,0.25,1,3,0.0,-0.11518220113631003,-0.0009420670577067192,0.031417275461968194,0.039771809196390194,-0.9083365756329659,-0.005483960851729752,-0.04692817330423506,-0.0005961055111090019
0.975,0.5,0.25,1,3,5.0,-0.7431241236384497,-0.005936615764598696,0.031417275461968194,0.039771809196390194,-1.5481463989403512,-0.009610871156526368,-0.5292473117219642,-0.006063161956632368
0.975,0.5,0.25,1,5,0.0,-0.11304681692282277,-0.0010052509794015174,0.03344798218541235,0.039573999557239774,-0.9083365756329659,-0.005483960851729752,-0.10490627667950364,-0.0013005524331480833
0.975,0.5,0.25,1,5,5.0,-0.6932948881605947,-0.005974400887739262,0.03344798218541235,0.039573999557239774,-1.5481463989403512,-0.009610871156526368,-0.5676325755051992,-0.006713787381805281
0.975,0.5,0.25,3,1,0.0,0.417495858227946,0.0012720751493426885,0.015189323401613903,0.030378646803227806,-0.6721782647666509,-0.0022241907691918916,0.6378755648615851,0.00178516759646552
0.975,0.5,0.25,3,1,5.0,-0.8266271556449274,-0.00255328340693306,0.015189323401613903,0.030378646803227806,-1.5717616105458487,-0.005460461256286853,-0.8437006569235334,-0.002374793001537201
0.975,0.5,0.25,3,3,0.0,-0.061043922733370864,-0.00028010521769417096,0.02305654739897802,0.03306314539440284,-0.9095482679272016,-0.003986078756559874,-0.05270502808144605,-0.0002867418680474465
0.975,0.5,0.25,3,3,5.0,-1.0104704710019263,-0.004436104669407914,0.02305654739897802,0.03306314539440284,-1.7040152569076628,-0.007681904601686607,-0.9168013400242033,-0.004672593951337789
0.975,0.5,0.25,3,5,0.0,-0.04555090657813731,-0.00021439137924816887,0.024049719341870633,0.03294520622618433,-0.9095482679272016,-0.003986078756559874,0.016102618851731164,7.029205573516606e-05
0.975,0.5,0.25,3,5,5.0,-0.9864085913681822,-0.00435572149447383,0.024049719341870633,0.03294520622618433,-1.7040152569076628,-0.007681904601686607,-0.8519893262525426,-0.004316846195205337
